reservation_id,guest_id,property_id,room_id,check_in_date,check_out_date,booking_status,booking_date
RES-02D0743726,1151,8,323,17/02/2025,2025/02/27,No Show,01-29-2025 12:00 AM
RES-139A49FBD1,154,10,419,14-Aug-2026,08-21-2026,canceled,2026-07-03 00:00:00
RES-97A6EB5D25,863,13,516,2024/06/05,06-08-2024,CXL,2024-05-07 00:00:00
RES-D9C4AF500F,583,5,175,2026/06/06,2026/06/07,pending,2026-05-11 00:00:00
RES-DA3362AC23,617,8,354,08-Jan-2025,2025-01-14,CHECKED_IN,11-20-2024 12:00 AM
RES-FF204D7D95,249,1,30,2026-09-27,29/09/2026,Confirmed,2026-08-18 00:00:00
RES-27E3EEE890,349,6,269,2024/08/30,2024-09-05,CONFIRMED,2024-07-14 00:00:00
RES-C2A91F7A61,675,2,42,11-09-2025,16/11/2025,NOSHOW,2025-09-19 00:00:00
RES-6D2F44DC1D,847,3,81,2025/05/15,2025/05/17,CHECKED_OUT,02/04/2025 00:00
RES-2CBB378FDF,541,6,261,12-15-2024,2024/12/17,canceled,10-30-2024 12:00 AM
RES-EA8AE793E9,27,2,48,08/09/2024,15-Sep-2024,CXL,08-09-2024 12:00 AM
RES-E790C4ABCB,316,9,380,16/06/2024,06-19-2024,CO,04-18-2024 12:00 AM
RES-EAFD5DB618,867,4,150,2025-12-23,02/01/2026,confirmed,2025-12-03 00:00:00
RES-4EF14CCD87,976,1,12,07-26-2025,2025-08-01,CONFIRMED,27/06/2025 00:00
RES-875A867D35,684,4,170,2025-04-14,2025-04-20,PND,2025-03-27 00:00:00
RES-B171EF5425,1085,5,197,2025-06-23,2025-06-30,Confirmed,2025-05-20 00:00:00
RES-DC9AAA51ED,1090,1,18,24-Oct-2024,03-Nov-2024,Cancelled,09/10/2024 00:00
RES-F505176AF7,590,4,151,2025-09-21,22/09/2025,PND,09-02-2025 12:00 AM
RES-CF3934185C,143,5,205,01/08/2024,2024-08-09,Checked Out,2024-07-10 00:00:00
RES-32A0A58617,20,3,72,2025-01-26,05-Feb-2025,checked_out,2024-12-26 00:00:00
RES-1C18DA885C,1076,14,596,2024-08-08,2024-08-11,PENDING,20/06/2024 00:00
RES-9517BDC3A1,997,8,337,02-07-2025,02-08-2025,NS,08/01/2025 00:00
RES-C779BC5086,43,2,49,20/04/2025,04-24-2025,CXL,02-24-2025 12:00 AM
RES-84785C064E,183,12,496,08-25-2026,2026/08/27,CO,2026-07-31 00:00:00
RES-EA04605977,801,5,219,21/03/2025,2025-03-26,PENDING,03-03-2025 12:00 AM
RES-B73AC7DD9E,711,2,47,23/04/2024,01-May-2024,No Show,04-22-2024 12:00 AM
RES-E21B86330F,133,9,380,15/02/2024,02-16-2024,confirmed,16/01/2024 00:00
RES-30A945460F,2,5,220,09-23-2024,2024/09/29,no-show,2024-09-14 00:00:00
RES-015C09BA99,166,12,485,08-15-2024,23/08/2024,PND,12/08/2024 00:00
RES-1FF81752DD,619,7,278,26-Nov-2024,12-06-2024,canceled,14/11/2024 00:00
RES-F2489BC079,176,3,88,2025/10/02,10/10/2025,checked_out,2025-08-03 00:00:00
RES-52E080F3DB,733,9,381,25-Jan-2025,02-Feb-2025,no_show,28/12/2024 00:00
RES-5D2CE7DECA,497,2,52,2025/07/02,2025/07/05,checked_in,08/06/2025 00:00
RES-071F77BD80,1061,3,63,2026-05-13,05-15-2026,pending,09/05/2026 00:00
RES-D4B093B2C6,679,10,403,2024/06/21,2024-07-01,no-show,05-04-2024 12:00 AM
RES-B8002228BF,317,12,481,25-Oct-2025,2025/10/26,confirmed,2025-10-05 00:00:00
RES-89F353353F,507,3,78,2024/05/17,18-May-2024,CONFIRMED,16/04/2024 00:00
RES-10E8B11AB7,1120,8,355,2026/05/31,2026-06-08,pending,2026-04-21 00:00:00
RES-562A7F3F76,1120,3,93,06-02-2025,2025-06-07,Checked Out,05-02-2025 12:00 AM
RES-4633C19032,871,5,188,2024-02-17,2024/02/25,No Show,2024-01-29 00:00:00
RES-C3BE7A8DB9,88,11,463,21-Sep-2026,,Cancelled,09-12-2026 12:00 AM
RES-582D660B0F,1076,14,585,14/06/2025,06-17-2025,No Show,09/06/2025 00:00
RES-A19D06E903,621,12,481,08-May-2024,16-May-2024,CXL,03-10-2024 12:00 AM
RES-FB07242D28,266,15,676,01-04-2025,2025/01/14,checked_out,2024-11-27 00:00:00
RES-D051D5CEAA,218,1,11,09-27-2026,05/10/2026,Pending,2026-08-14 00:00:00
RES-E7479F431B,861,15,680,2024-04-13,2024-04-18,conf,04/03/2024 00:00
RES-88A8764F81,658,10,394,14/01/2026,2026/01/21,Cancelled,16/12/2025 00:00
RES-1BAD3849EF,332,8,317,2026-05-17,2026/05/21,pending,2026-04-13 00:00:00
RES-C43258777A,836,1,1,09-07-2025,09/09/2025,PND,2025-07-13 00:00:00
RES-F9D3FFB72B,731,14,619,2026-08-15,18-Aug-2026,checked_out,07-10-2026 12:00 AM
RES-3BED10F00F,242,2,49,2024/08/28,09-07-2024,Checked In,24/08/2024 00:00
RES-E65D866961,154,12,483,2025/08/28,2025/09/06,no_show,08-12-2025 12:00 AM
RES-CF48C0BB8D,539,12,510,03-Feb-2024,02-09-2024,Confirmed,2024-01-31 00:00:00
RES-5793A9D40A,128,9,382,2025/05/25,2025-06-04,conf,05-20-2025 12:00 AM
RES-BD48F46AA9,981,12,478,2024-11-20,2024-11-21,Cancelled,04/10/2024 00:00
RES-B2768B049D,467,8,357,15/08/2026,2026/08/16,checked_out,08-11-2026 12:00 AM
RES-FC5815B13B,257,8,352,16/01/2026,2026-01-25,No Show,19/12/2025 00:00
RES-40D96432F2,189,4,141,2024/01/26,2024/02/02,Confirmed,2024-01-11 00:00:00
RES-53AFB75822,90,2,47,02-01-2025,05/02/2025,checked_out,12-24-2024 12:00 AM
RES-56BFB49534,732,2,50,05-15-2025,2025/05/20,Pending,03-30-2025 12:00 AM
RES-5EBA3D864B,214,15,678,2025/02/16,23-Feb-2025,canceled,12-20-2024 12:00 AM
RES-913AECDFDD,763,4,173,2026-06-05,08/06/2026,PND,2026-04-15 00:00:00
RES-615A3D06C4,1205,1,3,2024-12-26,12-28-2024,CHECKED_OUT,2024-11-03 00:00:00
RES-426E4F6F98,422,14,615,2024/08/19,2024-08-26,CNF,07/07/2024 00:00
RES-120A4811BF,689,15,672,28/05/2026,2026-06-07,NOSHOW,09/04/2026 00:00
RES-19E5FA7B65,1134,13,517,2026/10/19,24-Oct-2026,PENDING,2026-09-02 00:00:00
RES-88CE6ACDEA,32,7,282,2026-05-12,17/05/2026,Checked In,03-29-2026 12:00 AM
RES-B9027C5F5B,514,7,283,2026-05-29,2026-06-08,PENDING,09/04/2026 00:00
RES-B329C83C5C,19,14,618,2024/03/01,09/03/2024,no_show,07/02/2024 00:00
RES-3722BE0D8E,903,15,654,11-10-2024,15-Nov-2024,Pending,2024-09-21 00:00:00
RES-C5AE0BD01C,79,14,565,2026/01/03,01-11-2026,Pending,2025-12-01 00:00:00
RES-D197EFA597,724,12,489,08/01/2026,01-18-2026,NOSHOW,2026-01-05 00:00:00
RES-8988500E61,761,9,374,03-06-2025,13/03/2025,No Show,01/03/2025 00:00
RES-BEB2B39218,603,7,286,2024-02-12,02-18-2024,no_show,2024-02-01 00:00:00
RES-41F19DEDE4,1041,10,404,22-Jan-2026,2026/01/26,Pending,30/12/2025 00:00
RES-4DB761C2AE,460,13,519,06-Jul-2025,2025/07/15,no_show,05-30-2025 12:00 AM
RES-739854A49F,552,8,336,12/06/2026,06-17-2026,checked-in,06/05/2026 00:00
RES-5F35B76B41,912,6,249,11-03-2026,2026-11-10,no_show,07/09/2026 00:00
RES-09A08E2B68,858,11,435,2025/09/28,01/10/2025,CO,08-06-2025 12:00 AM
RES-BCCA9D301D,242,3,99,21/03/2025,2025/03/30,canceled,22/02/2025 00:00
RES-634F460325,1136,1,27,10/09/2026,2026-09-12,Confirmed,2026-08-10 00:00:00
RES-04B8706662,865,3,130,05/06/2024,06-14-2024,CI,05-10-2024 12:00 AM
RES-F1FC3BCA47,727,10,417,17-Aug-2026,08-25-2026,Pending,07-21-2026 12:00 AM
RES-077EACA37F,16,3,128,23-Sep-2025,10-01-2025,NS,30/08/2025 00:00
RES-43AC4DF7A0,99,13,533,2025/08/11,2025/08/20,Checked Out,14/06/2025 00:00
RES-E6E4E4EFC3,86,7,280,08-Aug-2026,2026/08/12,No Show,2026-06-22 00:00:00
RES-AA2E601BF9,997,6,249,10-13-2024,10-16-2024,Confirmed,08-17-2024 12:00 AM
RES-34EFAB2ED7,1042,5,201,2024-06-23,2024/07/03,cancelled,21/06/2024 00:00
RES-A3C8212A73,1170,14,606,17/02/2026,26-Feb-2026,confirmed,19/01/2026 00:00
RES-7A98176EE9,281,15,650,03-03-2026,2026-03-05,cancelled,19/01/2026 00:00
RES-C525AB4D57,1051,3,98,2026-03-11,17-Mar-2026,PENDING,2026-03-06 00:00:00
RES-546169AA37,17,14,563,27/06/2024,04/07/2024,CANCELLED,2024-05-20 00:00:00
RES-460CF5C6E1,182,12,481,2026-07-13,17-Jul-2026,NS,2026-05-27 00:00:00
RES-B2B8CB96A2,779,12,499,05-Sep-2025,2025/09/11,Cancelled,2025-08-20 00:00:00
RES-DB07C86035,804,15,665,02-04-2025,2025-02-12,CHECKED_IN,31/12/2024 00:00
RES-5F0FBC5B83,952,6,259,15-Nov-2025,21/11/2025,CHECKED_OUT,11-07-2025 12:00 AM
RES-7BB94E8F79,1040,7,275,2026-08-24,2026/08/31,Checked In,30/06/2026 00:00
RES-B22CD4FF63,112,7,288,06-28-2025,2025-07-02,checked-out,05-12-2025 12:00 AM
RES-75B977F171,226,15,647,2025/10/09,2025/10/12,pending,17/09/2025 00:00
RES-840FF2F1DB,1133,2,43,05/11/2025,11-14-2025,CXL,01/11/2025 00:00
RES-09EB218FCA,766,14,596,13/03/2025,2025-03-22,CNF,2025-02-27 00:00:00
RES-13DD591528,580,9,392,2024-02-09,02-13-2024,CHECKED_OUT,2024-01-25 00:00:00
RES-B527355A76,157,14,593,2025-07-17,2025-07-24,NS,2025-05-31 00:00:00
RES-DA206F2523,640,2,58,04-13-2025,04-14-2025,CONFIRMED,03-11-2025 12:00 AM
RES-4E577CAE00,456,10,403,08-15-2025,2025/08/23,checked_out,28/07/2025 00:00
RES-38B2901EEA,222,12,496,23-Sep-2024,24/09/2024,CO,2024-08-17 00:00:00
RES-0B8EB78C05,172,11,430,08-Aug-2025,2025/08/12,CANCELLED,07-28-2025 12:00 AM
RES-69AC9956D2,121,14,631,06-06-2025,06-13-2025,CONFIRMED,05-20-2025 12:00 AM
RES-CB982AFE65,429,10,394,2025/09/18,26-Sep-2025,Pending,29/07/2025 00:00
RES-8FF6439A27,167,8,335,25-Apr-2025,27/04/2025,CXL,03-11-2025 12:00 AM
RES-38028F232E,233,2,47,23/07/2026,2026/07/31,PND,25/06/2026 00:00
RES-5F8F174B95,556,1,28,2025/01/05,11/01/2025,no-show,11-26-2024 12:00 AM
RES-6752C0A775,948,12,511,07/09/2026,2026/09/10,checked_out,16/08/2026 00:00
RES-40BBF2637F,12,7,290,2026-01-01,2026/01/05,confirmed,12-19-2025 12:00 AM
RES-8FEEBD0C7A,1146,8,307,29/01/2025,01-30-2025,CO,12-19-2024 12:00 AM
RES-774236A940,1150,5,226,2025-11-30,2025/12/04,Pending,18/10/2025 00:00
RES-2317D9DF1C,1070,3,76,12-11-2025,2025/12/18,NS,22/10/2025 00:00
RES-38F3C0FC30,970,13,553,22/06/2024,2024-06-26,no-show,2024-06-21 00:00:00
RES-80EC848AF8,107,3,63,29-Jul-2025,06-Aug-2025,no_show,2025-06-07 00:00:00
RES-44A45CD853,728,9,385,2026/06/11,2026-06-17,canceled,05-08-2026 12:00 AM
RES-7A783B7790,1148,14,577,2025-06-30,2025/07/05,PENDING,2025-05-16 00:00:00
RES-887103841E,709,1,30,2025/03/24,03/04/2025,cancelled,2025-03-10 00:00:00
RES-2D2D478002,636,8,315,06-04-2024,2024/06/10,No Show,2024-04-06 00:00:00
RES-818CBC78CF,519,11,451,2025-10-06,16-Oct-2025,PND,02/10/2025 00:00
RES-A486C14232,79,3,132,10/03/2024,13/03/2024,confirmed,30/01/2024 00:00
RES-5928F320D8,1115,11,441,2026-06-05,06-15-2026,checked-in,05-23-2026 12:00 AM
RES-59A91FC7E8,826,12,506,2026-06-19,20/06/2026,no-show,05-07-2026 12:00 AM
RES-4066C8DC18,407,5,231,2025-06-28,07-01-2025,checked_in,01/06/2025 00:00
RES-100995932A,949,8,347,27/06/2024,2024-06-29,no_show,2024-04-29 00:00:00
RES-B6C4FE4361,167,13,554,08/09/2026,13/09/2026,Checked Out,2026-08-23 00:00:00
RES-8C2F01C84E,386,5,215,07-06-2026,07-09-2026,checked_in,23/06/2026 00:00
RES-5E8B2015B1,1072,6,257,2026-06-09,2026/06/12,NS,2026-04-29 00:00:00
RES-B1BD24DE77,1032,12,491,2026-06-16,2026/06/21,checked-in,29/04/2026 00:00
RES-41B0425805,382,5,189,06-22-2024,07-02-2024,pending,23/05/2024 00:00
RES-A5F47EB67A,17,12,495,04-07-2025,2025-04-13,Checked In,2025-03-07 00:00:00
RES-D3C3844ADA,935,8,351,26-Sep-2025,03-Oct-2025,Checked In,08-12-2025 12:00 AM
RES-1B5A3D45E9,480,6,258,2026-10-12,21-Oct-2026,CI,15/08/2026 00:00
RES-388C1CB02B,616,10,410,30/10/2026,2026/11/08,Cancelled,2026-09-15 00:00:00
RES-CF34F9AE36,709,2,57,2025-02-20,28/02/2025,Cancelled,09/02/2025 00:00
RES-3BA437E209,185,2,60,09-17-2024,2024-09-26,checked_in,07/09/2024 00:00
RES-66E075F2BD,771,9,374,09-Jan-2026,11/01/2026,CANCELLED,24/12/2025 00:00
RES-A42ADF7F67,870,15,677,03-14-2025,16-Mar-2025,no_show,2025-02-07 00:00:00
RES-91AEB5655D,742,15,683,2025/07/20,2025/07/21,Confirmed,2025-05-28 00:00:00
RES-139A704F2A,191,8,316,11-Mar-2025,14/03/2025,CHECKED_OUT,2025-01-28 00:00:00
RES-E4D6910A83,816,5,228,06-Aug-2025,2025-08-08,pending,06-13-2025 12:00 AM
RES-CCC08F8B25,264,14,560,2025-06-28,06-Jul-2025,PND,03/06/2025 00:00
RES-56454B1B19,238,13,541,2026/05/28,06-05-2026,PENDING,04-06-2026 12:00 AM
RES-B8F0BA36F1,1089,6,251,24/03/2025,2025-03-26,PENDING,2025-01-27 00:00:00
RES-DA42FD27F5,952,9,390,18-Feb-2024,02-26-2024,No Show,10/02/2024 00:00
RES-68DC2942E8,49,7,284,10-12-2024,17-Oct-2024,Checked In,09-30-2024 12:00 AM
RES-C35077E8DD,1089,1,23,2025-02-25,2025/02/28,Pending,02-09-2025 12:00 AM
RES-EF7E0559CD,939,8,320,2025/10/10,19-Oct-2025,Checked In,2025-09-24 00:00:00
RES-EFE95849EF,162,3,75,17-Sep-2026,22-Sep-2026,PENDING,08-07-2026 12:00 AM
RES-6F21B33C50,888,11,426,04-05-2026,04-15-2026,no-show,03-23-2026 12:00 AM
RES-ACDC488038,895,13,550,03-20-2026,2026/03/23,NOSHOW,2026-02-03 00:00:00
RES-2EEF5C3D56,39,11,421,11-12-2025,17-Nov-2025,PENDING,2025-11-03 00:00:00
RES-A76B2670B4,590,4,158,2026/02/07,15-Feb-2026,CI,30/12/2025 00:00
RES-1BD1708E5F,655,8,303,21-May-2026,24-May-2026,Pending,04-22-2026 12:00 AM
RES-E32FE69818,1171,7,276,11-09-2025,2025-11-18,No Show,08/10/2025 00:00
RES-2DDD53B3A6,61,5,232,2025/11/08,11-11-2025,checked_out,01/10/2025 00:00
RES-4C693D7964,1101,9,376,2025-03-02,04-Mar-2025,CNF,22/01/2025 00:00
RES-DBF2ECAC1A,721,3,114,09-06-2024,09-16-2024,pending,08-10-2024 12:00 AM
RES-44CDA5965E,651,15,674,06/08/2025,13-Aug-2025,Checked Out,02/07/2025 00:00
RES-6F34B9B26C,7,3,85,21/05/2026,2026-05-29,PND,29/04/2026 00:00
RES-FD6386014A,284,7,275,2025/10/29,2025/10/31,CONFIRMED,09-26-2025 12:00 AM
RES-52A4B5DE61,759,4,168,2026/03/10,2026/03/17,CANCELLED,30/01/2026 00:00
RES-5C1C4ED592,410,12,484,2024-06-03,05/06/2024,checked-out,05-15-2024 12:00 AM
RES-1F3B3B2E5D,945,10,401,10-26-2025,05/11/2025,pending,2025-10-18 00:00:00
RES-6335BD3419,963,12,499,05-03-2024,2024/05/10,NS,03-13-2024 12:00 AM
RES-67C3AEA188,816,1,4,01-Mar-2026,2026/03/07,CHECKED_OUT,2026-02-26 00:00:00
RES-8F24A16274,1188,2,41,03-29-2026,01-Apr-2026,canceled,21/03/2026 00:00
RES-67936B956D,152,4,159,24/08/2026,09-01-2026,PND,09/07/2026 00:00
RES-E2FBD09330,1218,13,530,2026/02/27,03-02-2026,CI,18/02/2026 00:00
RES-D72C963D50,625,12,483,29/01/2026,03/02/2026,CHECKED_IN,31/12/2025 00:00
RES-CE251C26AD,304,11,434,2024/01/30,2024/02/05,no-show,13/01/2024 00:00
RES-C2C70D362B,767,11,453,04/08/2026,2026/08/12,CHECKED_OUT,2026-06-05 00:00:00
RES-82A2A50B7A,423,11,442,2024-06-20,30/06/2024,CO,06-02-2024 12:00 AM
RES-72AE59AE30,1074,15,681,2026-02-11,17-Feb-2026,CI,2026-01-29 00:00:00
RES-B97CCA4A73,1102,5,243,11-Nov-2026,2026/11/12,Cancelled,09-20-2026 12:00 AM
RES-135694B02D,935,3,94,2024/03/21,03-26-2024,cancelled,2024-02-11 00:00:00
RES-F25BF7A09B,1200,9,374,2025-09-18,2025/09/26,CONFIRMED,08-18-2025 12:00 AM
RES-1FEADCE19C,975,2,36,17/05/2024,2024/05/27,no_show,04-12-2024 12:00 AM
RES-189A1043F7,907,7,278,2025/11/02,12-Nov-2025,CHECKED_IN,10-20-2025 12:00 AM
RES-FAFC5347A1,990,5,197,11-28-2024,2024/12/03,CI,10-17-2024 12:00 AM
RES-127428E7D5,374,5,189,28-Jan-2024,06-Feb-2024,conf,01-07-2024 12:00 AM
RES-34FB44D4D2,1104,5,231,05/09/2024,07/09/2024,Checked In,07-17-2024 12:00 AM
RES-2C9AF4B0AA,431,8,322,29/11/2025,05/12/2025,canceled,11-19-2025 12:00 AM
RES-18E9468C55,1220,11,454,25/04/2026,04-30-2026,Checked In,2026-03-09 00:00:00
RES-22FB4B6D5C,646,5,220,09-Dec-2024,,checked_out,11/11/2024 00:00
RES-59444C3600,562,6,250,03/06/2026,06-07-2026,checked_in,18/04/2026 00:00
RES-3065070CDA,409,7,285,10-27-2025,2025-11-04,Cancelled,09-24-2025 12:00 AM
RES-76E8C11FC1,95,8,340,01/12/2025,12-09-2025,NOSHOW,2025-11-06 00:00:00
RES-6B9A1DC4FF,757,2,43,22-Aug-2026,24/08/2026,CONFIRMED,08-03-2026 12:00 AM
RES-697598E3DC,613,7,302,28-Aug-2024,30/08/2024,No Show,07-23-2024 12:00 AM
RES-1AAF2EA816,140,9,362,02-15-2026,21-Feb-2026,canceled,29/12/2025 00:00
RES-D842B83225,531,8,326,28/10/2025,2025-10-29,CHECKED_OUT,10/09/2025 00:00
RES-24F0048312,1050,13,547,2024-02-23,2024/03/01,CI,17/01/2024 00:00
RES-4D46178465,1158,5,183,2025/09/13,15/09/2025,CNF,25/07/2025 00:00
RES-F3EE271D1C,883,10,400,05-20-2025,2025-05-23,No Show,21/04/2025 00:00
RES-B564E322F2,823,9,388,28-Oct-2024,,CHECKED_IN,2024-10-27 00:00:00
RES-DF59DE897C,411,5,216,2026/05/28,03/06/2026,canceled,21/04/2026 00:00
RES-A268BFB625,81,3,131,2024-06-14,06-20-2024,canceled,2024-05-10 00:00:00
RES-E964F3DA4E,445,5,209,31-Dec-2024,2025-01-03,checked_out,29/12/2024 00:00
RES-73F42F808B,916,14,585,25-Feb-2025,2025/03/01,Confirmed,02-12-2025 12:00 AM
RES-4A118DE592,430,15,667,09-22-2026,10-02-2026,cancelled,08-21-2026 12:00 AM
RES-85E1AFCCB5,936,6,262,02-Feb-2024,2024-02-09,checked_in,08/01/2024 00:00
RES-2F8E1206F7,173,14,588,12-Dec-2025,2025-12-19,Checked In,2025-10-21 00:00:00
RES-EC9CE7523F,263,3,85,2024-06-17,2024-06-25,Cancelled,08/06/2024 00:00
RES-34A78FA4C8,358,10,399,09-25-2026,2026-09-28,conf,2026-09-15 00:00:00
RES-F239B30545,544,5,222,11-26-2024,2024-11-27,Confirmed,24/11/2024 00:00
RES-439AD70FFE,31,1,11,22-Jul-2026,2026-07-24,CHECKED_OUT,07/07/2026 00:00
RES-62F04B606A,1236,14,615,21-Jan-2024,01-29-2024,PENDING,01-01-2024 12:00 AM
RES-6296CD1B77,1170,11,451,23/05/2024,01/06/2024,confirmed,05-08-2024 12:00 AM
RES-59DF19ACAD,464,7,294,08-24-2024,29-Aug-2024,NS,07-08-2024 12:00 AM
RES-9F04A22714,768,15,642,05-Jul-2024,2024-07-06,cancelled,2024-05-28 00:00:00
RES-48E9DA5755,813,11,471,18-Feb-2024,02-26-2024,NOSHOW,12/01/2024 00:00
RES-C0E3EC3F6C,242,4,154,11-24-2024,12-03-2024,Cancelled,13/10/2024 00:00
RES-D41D0287BC,198,13,549,06-17-2026,2026-06-26,checked_out,05-26-2026 12:00 AM
RES-9BFAC30FED,247,3,121,01-18-2026,01-21-2026,no_show,12-30-2025 12:00 AM
RES-645B3AEAB9,455,3,128,2024/01/31,2024/02/06,NS,01-18-2024 12:00 AM
RES-00847D10C6,1088,1,24,29/01/2025,2025/01/31,Pending,01-18-2025 12:00 AM
RES-625D413293,821,10,400,02-Apr-2025,11-Apr-2025,Cancelled,2025-02-03 00:00:00
RES-3DB5904473,428,2,50,2025-10-28,30-Oct-2025,checked-out,2025-09-19 00:00:00
