room_id,property_id,room_type,capacity
155,4,Deluxe,2
156,4,Penthouse,3
157,4,Executive,4
158,4,Standard,2
159,4,Suite,1
160,4,Standard,3
161,4,Penthouse,3
162,4,Penthouse,2
163,4,Standard,4
164,4,Standard,4
165,4,Suite,6
166,4,Deluxe,2
167,4,Executive,4
168,4,Penthouse,6
169,4,Executive,4
170,4,Executive,6
171,4,Deluxe,1
172,4,Penthouse,2
173,4,Standard,6
174,4,Suite,1
175,5,Penthouse,2
176,5,Penthouse,3
177,5,Deluxe,4
178,5,Executive,3
179,5,Penthouse,4
180,5,Standard,2
181,5,Executive,3
182,5,Penthouse,6
183,5,Standard,6
184,5,Executive,2
185,5,Family,2
186,5,Penthouse,2
187,5,Family,4
188,5,Penthouse,4
189,5,Standard,2
190,5,Executive,1
191,5,Suite,6
192,5,Family,3
193,5,Deluxe,3
194,5,Standard,3
195,5,Penthouse,4
196,5,Deluxe,2
197,5,Deluxe,2
198,5,Penthouse,6
199,5,Standard,1
200,5,Executive,6
201,5,Standard,2
202,5,Suite,3
203,5,Suite,2
204,5,Penthouse,2
205,5,Penthouse,3
206,5,Penthouse,1
207,5,Penthouse,2
208,5,Family,6
209,5,Penthouse,3
210,5,Standard,6
211,5,Suite,2
212,5,Family,4
213,5,Standard,6
214,5,Suite,3
215,5,Penthouse,6
216,5,Penthouse,6
217,5,Executive,6
218,5,Penthouse,4
219,5,Executive,2
220,5,Deluxe,2
221,5,Standard,2
222,5,Standard,1
223,5,Standard,2
224,5,Penthouse,4
225,5,Deluxe,6
226,5,Standard,4
227,5,Suite,2
228,5,Suite,3
229,5,Family,6
230,5,Standard,2
231,5,Standard,4
232,5,Family,2
233,5,Executive,3
234,5,Suite,2
235,5,Penthouse,2
236,5,Family,6
237,5,Family,4
238,5,Deluxe,1
239,5,Executive,1
240,5,Family,3
241,5,Suite,2
242,5,Suite,2
243,5,Executive,6
244,5,Executive,2
245,5,Family,2
246,6,Penthouse,6
247,6,Penthouse,1
248,6,Family,2
249,6,Suite,4
250,6,Penthouse,1
251,6,Suite,6
252,6,Family,3
253,6,Penthouse,2
254,6,Executive,2
255,6,Penthouse,3
256,6,Standard,2
257,6,Deluxe,6
258,6,Deluxe,6
259,6,Deluxe,6
260,6,Penthouse,1
261,6,Deluxe,3
262,6,Penthouse,3
263,6,Suite,6
264,6,Deluxe,1
265,6,Family,3
266,6,Suite,3
267,6,Penthouse,3
268,6,Suite,3
269,6,Executive,1
270,6,Family,6
271,6,Suite,2
272,6,Penthouse,2
273,6,Penthouse,4
274,6,Executive,1
275,7,Suite,4
276,7,Standard,6
277,7,Suite,3
278,7,Penthouse,2
279,7,Family,2
280,7,Executive,6
281,7,Executive,2
282,7,Deluxe,2
283,7,Deluxe,6
284,7,Deluxe,6
285,7,Penthouse,1
286,7,Suite,6
287,7,Family,1
288,7,Penthouse,2
289,7,Executive,3
290,7,Penthouse,2
291,7,Standard,1
292,7,Suite,3
293,7,Deluxe,1
294,7,Standard,4
295,7,Penthouse,2
296,7,Family,3
297,7,Deluxe,6
298,7,Penthouse,3
299,7,Deluxe,1
300,7,Standard,2
301,7,Executive,3
302,7,Suite,6
303,8,Deluxe,6
304,8,Penthouse,3
305,8,Penthouse,6
306,8,Penthouse,1
307,8,Executive,6
308,8,Executive,2
309,8,Penthouse,6
310,8,Executive,2
311,8,Standard,1
312,8,Standard,1
313,8,Standard,3
314,8,Penthouse,6
315,8,Family,2
316,8,Standard,4
317,8,Family,4
318,8,Executive,2
319,8,Penthouse,6
320,8,Standard,4
321,8,Deluxe,3
322,8,Executive,6
323,8,Penthouse,3
324,8,Suite,4
325,8,Deluxe,1
326,8,Suite,1
327,8,Penthouse,4
328,8,Deluxe,3
329,8,Penthouse,1
330,8,Executive,4
331,8,Family,4
332,8,Executive,1
333,8,Family,4
334,8,Family,6
335,8,Penthouse,1
336,8,Deluxe,6
337,8,Standard,2
338,8,Family,6
339,8,Deluxe,1
340,8,Family,3
341,8,Suite,1
342,8,Standard,2
343,8,Family,2
344,8,Penthouse,2
345,8,Standard,4
346,8,Suite,1
347,8,Standard,1
348,8,Family,2
349,8,Suite,4
350,8,Deluxe,3
351,8,Penthouse,1
352,8,Deluxe,2
353,8,Standard,4
354,8,Suite,6
355,8,Family,3
356,8,Deluxe,4
357,8,Executive,6
358,8,Suite,4
359,8,Suite,4
360,8,Family,4
361,9,Penthouse,1
362,9,Penthouse,1
363,9,Deluxe,1
364,9,Deluxe,2
365,9,Suite,2
366,9,Deluxe,4
367,9,Family,2
368,9,Family,2
369,9,Suite,2
370,9,Penthouse,4
371,9,Executive,1
372,9,Family,2
373,9,Suite,3
374,9,Penthouse,2
375,9,Executive,3
376,9,Standard,2
377,9,Penthouse,3
378,9,Penthouse,2
379,9,Family,2
380,9,Standard,6
381,9,Penthouse,2
382,9,Penthouse,6
383,9,Penthouse,2
384,9,Penthouse,2
385,9,Family,6
386,9,Penthouse,4
387,9,Family,2
388,9,Executive,2
389,9,Suite,3
390,9,Executive,1
391,9,Family,2
392,9,Standard,2
393,9,Standard,4
394,10,Penthouse,4
395,10,Executive,1
396,10,Suite,6
397,10,Standard,2
398,10,Suite,2
399,10,Deluxe,2
400,10,Suite,1
401,10,Standard,3
402,10,Deluxe,3
403,10,Standard,1
404,10,Deluxe,4
405,10,Penthouse,2
406,10,Family,3
407,10,Standard,4
408,10,Suite,6
409,10,Family,2
410,10,Family,2
411,10,Family,1
412,10,Standard,2
413,10,Suite,3
414,10,Deluxe,2
415,10,Penthouse,6
416,10,Family,4
417,10,Family,3
418,10,Executive,4
419,10,Deluxe,2
420,10,Standard,6
421,11,Penthouse,2
422,11,Penthouse,2
423,11,Deluxe,3
424,11,Family,6
425,11,Suite,1
426,11,Penthouse,6
427,11,Suite,6
428,11,Deluxe,6
429,11,Family,3
430,11,Penthouse,3
431,11,Deluxe,3
432,11,Suite,3
433,11,Family,2
434,11,Suite,3
435,11,Family,6
436,11,Deluxe,2
437,11,Penthouse,1
438,11,Suite,3
439,11,Suite,1
440,11,Penthouse,1
441,11,Standard,6
442,11,Deluxe,1
443,11,Deluxe,4
444,11,Standard,1
445,11,Penthouse,2
446,11,Family,3
447,11,Standard,3
448,11,Penthouse,4
449,11,Penthouse,2
450,11,Executive,3
451,11,Family,6
452,11,Penthouse,4
453,11,Penthouse,1
454,11,Executive,1
455,11,Family,2
456,11,Penthouse,1
457,11,Penthouse,3
458,11,Penthouse,4
459,11,Penthouse,2
460,11,Deluxe,6
461,11,Penthouse,4
462,11,Penthouse,4
463,11,Standard,4
464,11,Executive,2
465,11,Penthouse,4
466,11,Deluxe,2
467,11,Standard,2
468,11,Deluxe,4
469,11,Suite,1
470,11,Executive,3
471,11,Executive,2
472,11,Suite,1
473,12,Penthouse,2
474,12,Family,1
475,12,Suite,2
476,12,Executive,2
477,12,Suite,2
478,12,Standard,6
479,12,Penthouse,4
480,12,Executive,2
481,12,Suite,6
482,12,Family,1
483,12,Executive,4
484,12,Executive,1
485,12,Suite,1
486,12,Family,3
487,12,Suite,2
488,12,Suite,1
489,12,Standard,2
490,12,Penthouse,2
491,12,Executive,2
492,12,Standard,1
493,12,Executive,3
494,12,Deluxe,1
495,12,Family,4
496,12,Deluxe,3
497,12,Standard,3
498,12,Standard,2
499,12,Penthouse,2
500,12,Deluxe,3
501,12,Executive,2
502,12,Suite,2
503,12,Executive,2
504,12,Family,2
505,12,Standard,3
506,12,Penthouse,3
507,12,Deluxe,2
508,12,Suite,6
509,12,Executive,1
510,12,Suite,6
511,12,Deluxe,1
512,12,Deluxe,2
513,12,Standard,2
514,13,Executive,6
515,13,Suite,1
516,13,Deluxe,6
517,13,Deluxe,3
518,13,Penthouse,2
519,13,Standard,3
520,13,Executive,4
521,13,Executive,6
522,13,Penthouse,2
523,13,Suite,3
524,13,Family,6
525,13,Penthouse,3
526,13,Deluxe,1
527,13,Standard,1
528,13,Deluxe,2
529,13,Suite,4
530,13,Standard,6
531,13,Deluxe,1
532,13,Penthouse,2
533,13,Executive,4
534,13,Penthouse,1
535,13,Executive,3
536,13,Suite,2
537,13,Executive,1
538,13,Executive,2
539,13,Family,2
540,13,Penthouse,4
541,13,Deluxe,2
542,13,Suite,1
543,13,Suite,6
544,13,Deluxe,6
545,13,Executive,2
546,13,Executive,6
547,13,Standard,6
548,13,Penthouse,4
549,13,Family,2
550,13,Deluxe,4
551,13,Penthouse,6
552,13,Deluxe,2
553,13,Standard,2
554,13,Executive,1
555,13,Suite,2
556,13,Deluxe,3
557,13,Standard,4
558,13,Deluxe,1
559,14,Standard,3
560,14,Executive,4
561,14,Suite,6
562,14,Penthouse,2
563,14,Deluxe,2
564,14,Executive,3
565,14,Standard,4
566,14,Executive,6
567,14,Standard,2
568,14,Standard,2
569,14,Suite,2
570,14,Suite,6
571,14,Executive,2
572,14,Suite,1
573,14,Deluxe,1
574,14,Standard,1
575,14,Penthouse,6
576,14,Suite,2
577,14,Suite,3
578,14,Suite,4
579,14,Standard,3
580,14,Deluxe,2
581,14,Executive,2
582,14,Suite,2
583,14,Standard,1
584,14,Penthouse,1
585,14,Penthouse,4
586,14,Deluxe,2
587,14,Suite,6
588,14,Suite,6
589,14,Family,4
590,14,Family,2
591,14,Deluxe,6
592,14,Suite,2
593,14,Family,3
594,14,Standard,1
595,14,Deluxe,6
596,14,Penthouse,4
597,14,Standard,1
598,14,Family,6
599,14,Deluxe,2
600,14,Penthouse,3
601,14,Standard,1
602,14,Family,4
603,14,Suite,2
604,14,Penthouse,3
605,14,Deluxe,4
606,14,Penthouse,2
607,14,Standard,2
608,14,Deluxe,3
609,14,Family,6
610,14,Suite,4
611,14,Suite,2
612,14,Executive,6
613,14,Penthouse,1
614,14,Executive,1
615,14,Executive,3
616,14,Family,4
617,14,Standard,2
618,14,Family,2
619,14,Penthouse,2
620,14,Suite,1
621,14,Family,1
622,14,Penthouse,2
623,14,Penthouse,3
624,14,Executive,6
625,14,Family,4
626,14,Standard,2
627,14,Executive,4
628,14,Executive,4
629,14,Executive,3
630,14,Family,2
631,14,Deluxe,2
632,14,Standard,2
633,14,Family,2
634,15,Penthouse,1
635,15,Family,3
636,15,Family,6
637,15,Penthouse,4
638,15,Suite,2
639,15,Deluxe,2
640,15,Penthouse,2
641,15,Family,1
642,15,Deluxe,2
643,15,Standard,4
644,15,Deluxe,2
645,15,Standard,6
646,15,Deluxe,2
647,15,Deluxe,2
648,15,Standard,6
649,15,Deluxe,2
650,15,Family,1
651,15,Standard,6
652,15,Suite,6
653,15,Family,2
654,15,Suite,1
655,15,Penthouse,4
656,15,Suite,6
657,15,Deluxe,3
658,15,Family,2
659,15,Suite,1
660,15,Penthouse,1
661,15,Suite,2
662,15,Penthouse,2
663,15,Deluxe,2
664,15,Standard,4
665,15,Penthouse,4
666,15,Standard,6
667,15,Penthouse,6
668,15,Executive,6
669,15,Suite,6
670,15,Penthouse,4
671,15,Family,2
672,15,Executive,2
673,15,Suite,2
674,15,Deluxe,4
675,15,Penthouse,3
676,15,Deluxe,3
677,15,Deluxe,6
678,15,Penthouse,3
679,15,Suite,2
680,15,Executive,1
681,15,Executive,2
682,15,Executive,2
683,15,Deluxe,2
684,15,Family,3
685,15,Penthouse,2
686,15,Penthouse,2
687,15,Standard,2
688,15,Deluxe,2
689,15,Executive,6
690,15,Family,2
