payment_id,reservation_id,payment_date,payment_method,amount,payment_status
PMT-8EBA176948,RES-EF0C6EEC1F,03-10-2025 12:00 AM,mobile_money,248.24,REFUNDED
PMT-D59F6D4C30,RES-EF0C6EEC1F,2026-01-30 00:00:00,paypal,959.88,Failed
PMT-1C2151D38D,RES-0C8B96B3CE,2025-08-07 00:00:00,paypal,1281.91,pending
PMT-1BAD472185,RES-04952B9014,2024-02-17 00:00:00,debit_card,1117.46,FAILED
PMT-DE9B0D4070,RES-7E3EF0B4EE,04/02/2026 00:00,debit_card,415.95,paid
PMT-5A7920DE52,RES-D5D17FC17F,11-28-2025 12:00 AM,mobile_money,160.19,PENDING
PMT-5A7D6815E4,RES-E30A4EA268,2026-02-11 00:00:00,bank_transfer,1071.45,Failed
PMT-A38DB76228,RES-E30A4EA268,14/12/2024 00:00,mobile_money,151.17,Paid
PMT-03E9F3C754,RES-C841BEEFAC,09/05/2024 00:00,paypal,1463.62,declined
PMT-8C6CDBF214,RES-407FC5EEF3,04/06/2025 00:00,debit_card,816.94,REFUNDED
PMT-B87A350C33,RES-970F1F1E15,22/03/2025 00:00,bank_transfer,737.36,paid
PMT-AD017DC927,RES-815829BC06,03/04/2024 00:00,credit_card,1089.95,SUCCESS
PMT-8DD952749B,RES-815829BC06,2025-08-08 00:00:00,debit_card,1430.96,Failed
PMT-7C8F20185C,RES-815829BC06,06/02/2024 00:00,mobile_money,251.84,Failed
PMT-668E65C091,RES-1929001493,2024-02-22 00:00:00,mobile_money,240.12,FAILED
PMT-41806C5950,RES-E282901F70,11/11/2025 00:00,credit_card,293.79,success
PMT-353582B82A,RES-D8A26AAE6F,06-02-2024 12:00 AM,credit_card,418.55,refunded
PMT-F55AC2B548,RES-1D53601C38,10-17-2024 12:00 AM,credit_card,424.16,Pending
PMT-A0B7BB4BB5,RES-758A1A57A5,2025-02-18 00:00:00,credit_card,529.72,failed
PMT-9357A90957,RES-26D9FCB7C3,2024-09-20 00:00:00,paypal,1588.83,Paid
PMT-166AE68720,RES-87EB474A0D,2025-02-01 00:00:00,cash,775.26,REFUNDED
PMT-A7ABAB5539,RES-016577552F,2024-10-23 00:00:00,paypal,76.53,Pending
PMT-BC51E5C6C1,RES-507E1096BD,09/07/2024 00:00,bank_transfer,196.14,declined
PMT-7D5CF6678B,RES-25A1A9908E,2024-01-02 00:00:00,credit_card,576.59,paid
PMT-BE4DD861F1,RES-A81AADB045,,credit_card,246.82,Pending
PMT-3DAA30D032,RES-118AC4F76C,01-20-2026 12:00 AM,bank_transfer,607.5,pending
PMT-DE53BE754E,RES-8963B68E76,2025-04-23 00:00:00,paypal,1560.15,Pending
PMT-4C2DE5B9C4,RES-75910826CB,2025-07-13 00:00:00,credit_card,393.07,Refunded
PMT-757F2814D8,RES-0359554203,2025-08-27 00:00:00,cash,875.26,Refunded
PMT-BEA27D01B7,RES-AA2B638637,2024-06-30 00:00:00,paypal,1085.24,PENDING
PMT-1D69E29BDB,RES-BDBFA702E5,05/09/2024 00:00,paypal,756.0,FAILED
PMT-7D26179D08,RES-1D7289AF1F,26/08/2024 00:00,paypal,285.02,REFUNDED
PMT-2107C77533,RES-1D7289AF1F,01-04-2026 12:00 AM,mobile_money,1736.79,Paid
PMT-9D8698E815,RES-1D7289AF1F,08-08-2025 12:00 AM,mobile_money,819.36,PAID
PMT-0FE0ABF848,RES-79E1447F58,,mobile_money,1304.01,FAILED
PMT-202F326B11,RES-56B2929859,16/10/2024 00:00,mobile_money,1667.73,declined
PMT-57D486D24B,RES-56B2929859,16/12/2025 00:00,mobile_money,935.04,success
PMT-51D9021E36,RES-0746CC0B65,2025-08-01 00:00:00,bank_transfer,624.05,PAID
PMT-8DDE973B6F,RES-E7C5083356,19/10/2025 00:00,credit_card,531.7,Pending
PMT-B3489BE623,RES-47DE87C66B,2025-01-20 00:00:00,paypal,1555.87,FAILED
PMT-4D8E2E8ABB,RES-3C03C6762C,12-30-2025 12:00 AM,cash,1425.29,pending
PMT-7A444F6E0A,RES-17AFBA037A,21/02/2026 00:00,debit_card,440.78,Refunded
PMT-07963AAE13,RES-17AFBA037A,12-26-2025 12:00 AM,bank_transfer,1141.48,Refunded
PMT-37BA3530F9,RES-8E2FA5F0AA,2024-07-21 00:00:00,mobile_money,1067.45,REFUNDED
PMT-48785FEE42,RES-E7A9CA380D,31/05/2025 00:00,credit_card,764.97,paid
PMT-E80E1E468D,RES-B7C490E307,03-01-2024 12:00 AM,cash,675.31,REFUNDED
PMT-DAC77D4665,RES-9CB535A769,09-12-2024 12:00 AM,bank_transfer,1024.55,pending
PMT-B290CA89AC,RES-6BCF2E81EE,05-24-2025 12:00 AM,credit_card,368.75,success
PMT-72D36F3FFF,RES-6F77EF71A6,2025-12-01 00:00:00,paypal,1761.71,PAID
PMT-C2F6584626,RES-BBEAE78BB7,01-28-2024 12:00 AM,debit_card,1052.64,PENDING
PMT-F727A9D51B,RES-0306B2D350,12-29-2025 12:00 AM,credit_card,1038.17,PENDING
PMT-26C99DF31F,RES-B08F6EFB3E,2025-01-09 00:00:00,paypal,104.25,DECLINED
PMT-B88DD9AFFA,RES-FC845E9A65,2025-05-28 00:00:00,bank_transfer,1132.98,pending
PMT-45B8DC999D,RES-C3AB4FF67A,2024-06-20 00:00:00,paypal,1430.26,Refunded
PMT-5406172C45,RES-8016F27903,2025-09-07 00:00:00,cash,390.8,pending
PMT-3B324E6816,RES-66F859555A,2024-06-30 00:00:00,credit_card,1158.89,SUCCESS
PMT-D0FBEDDF99,RES-18E3CA5757,2026-04-15 00:00:00,credit_card,993.57,REFUNDED
PMT-590C67FB86,RES-83795EB47D,02/08/2025 00:00,debit_card,1063.78,PAID
PMT-E4DF3C4AF8,RES-1E11D5771E,2025-03-06 00:00:00,bank_transfer,672.68,Failed
PMT-279A2D1E96,RES-1E11D5771E,02/02/2026 00:00,credit_card,1648.32,Paid
PMT-48369CF57A,RES-4F2259C177,03-08-2024 12:00 AM,mobile_money,374.15,refunded
PMT-CA2F999983,RES-0D171B5195,2025-03-22 00:00:00,mobile_money,208.65,DECLINED
PMT-2A4B27DD96,RES-2CE6EDAD13,2026-02-23 00:00:00,bank_transfer,715.74,pending
PMT-BD894A3AA1,RES-C3F637C331,2026-01-14 00:00:00,cash,708.18,refunded
PMT-6E26A966D9,RES-3583379AC3,2025-03-11 00:00:00,bank_transfer,658.17,Refunded
PMT-16B93C654B,RES-1E3925348A,03-17-2026 12:00 AM,cash,57.5,declined
PMT-DBF2C8F5C5,RES-1E3925348A,2024-07-14 00:00:00,cash,1541.33,paid
PMT-43C61993C9,RES-0B4F405B7F,12-02-2025 12:00 AM,credit_card,1156.57,Failed
PMT-D5AE33401C,RES-E596572931,2024-11-12 00:00:00,paypal,646.66,PAID
PMT-949A2CC1C0,RES-568428113D,05-18-2024 12:00 AM,credit_card,1178.53,PENDING
PMT-FB33A81832,RES-8988751EB7,,paypal,797.71,Pending
PMT-6C7890C373,RES-56E59EABC1,06-12-2025 12:00 AM,credit_card,743.58,Paid
PMT-1588D6774D,RES-56E59EABC1,17/04/2025 00:00,cash,1109.46,SUCCESS
PMT-298BFF8A7E,RES-56E59EABC1,05/07/2025 00:00,credit_card,1480.56,Failed
PMT-B0BA509B44,RES-F3C08A42DA,10-09-2024 12:00 AM,debit_card,748.01,REFUNDED
PMT-9ACFB2B0BA,RES-1428706647,2025-05-11 00:00:00,bank_transfer,821.08,pending
PMT-AEFA4713B9,RES-1428706647,22/11/2024 00:00,cash,127.75,PENDING
PMT-DD551AFE94,RES-1428706647,12-23-2024 12:00 AM,paypal,394.22,PAID
PMT-36EF1A8B5D,RES-A9EAB55CDF,06/01/2026 00:00,cash,224.95,refunded
PMT-2F5335A7EC,RES-A9EAB55CDF,2024-12-04 00:00:00,bank_transfer,1150.79,DECLINED
PMT-74B86DD04F,RES-A9EAB55CDF,2024-10-07 00:00:00,debit_card,1434.24,refunded
PMT-84DE4EC387,RES-44A729A527,06/04/2025 00:00,bank_transfer,,Failed
PMT-879D7A8E99,RES-10C561889B,06-18-2024 12:00 AM,paypal,1081.02,failed
PMT-C4A319FD77,RES-5F523A87B8,02-23-2026 12:00 AM,paypal,1260.53,failed
PMT-DE95AAE93A,RES-5ED6B4A78D,2024-12-21 00:00:00,credit_card,1660.07,PAID
PMT-016B713E0A,RES-1420F44697,2025-10-16 00:00:00,bank_transfer,756.61,PENDING
PMT-FF7A2FDB3E,RES-AF6598424D,05/02/2026 00:00,cash,973.79,PAID
PMT-059A51E055,RES-AF6598424D,2025-02-22 00:00:00,cash,1721.65,pending
PMT-B32F7564BA,RES-AF6598424D,05-18-2024 12:00 AM,mobile_money,1243.71,DECLINED
PMT-EB1F68F8E6,RES-DC3F93CC72,,credit_card,1336.32,PAID
PMT-3AF1E75564,RES-A15BE9A960,12-12-2024 12:00 AM,mobile_money,864.6,pending
PMT-03B4FFD648,RES-DAC470D1D7,2025-01-04 00:00:00,credit_card,847.26,declined
PMT-58506CA6E7,RES-ACE6271C22,2024-11-29 00:00:00,mobile_money,328.02,PAID
PMT-A5F3EF23B6,RES-7687E511B2,2024-08-06 00:00:00,bank_transfer,1150.37,DECLINED
PMT-1B53EB4BD6,RES-7687E511B2,30/08/2024 00:00,cash,658.18,Refunded
PMT-EA12AB2104,RES-2CA6361C63,03-05-2024 12:00 AM,credit_card,673.34,PAID
PMT-76F3FEA79A,RES-5B539FE538,2024-09-03 00:00:00,credit_card,1632.39,Failed
PMT-C6DA61CDE9,RES-B167A98262,04/02/2025 00:00,debit_card,1649.38,PENDING
PMT-87A4C4C4A3,RES-FBEFBFC119,04-08-2024 12:00 AM,bank_transfer,259.3,Pending
PMT-B554C5AEE2,RES-F74A471733,2025-02-10 00:00:00,paypal,265.18,failed
PMT-25AA1BB5E6,RES-C572744434,2024-05-19 00:00:00,paypal,475.79,PENDING
PMT-0F2CA1EFDD,RES-D8A8BF48E5,2025-07-17 00:00:00,mobile_money,905.57,pending
PMT-9D40433972,RES-78C4C13B71,22/12/2025 00:00,paypal,959.2,PENDING
PMT-B4116EA053,RES-44F3A8A035,08-20-2024 12:00 AM,mobile_money,928.43,refunded
PMT-2734FF3123,RES-8E9403D062,04/04/2025 00:00,debit_card,363.63,REFUNDED
PMT-6940BCC398,RES-A1F78BE7F5,29/12/2024 00:00,credit_card,934.04,REFUNDED
PMT-32EA1D0DB7,RES-82535968CD,17/08/2025 00:00,cash,1066.1,paid
PMT-99D971A0DA,RES-946B40F31B,06-02-2024 12:00 AM,paypal,1679.67,PENDING
PMT-6F00811391,RES-946B40F31B,2024-01-06 00:00:00,paypal,599.51,PAID
PMT-5D00844FEF,RES-26AD3DAEB9,2025-08-13 00:00:00,bank_transfer,1297.7,refunded
PMT-B9884E3D48,RES-8CF39B67DE,20/05/2025 00:00,cash,419.01,PAID
PMT-00D0D360B6,RES-693251F61E,04-24-2026 12:00 AM,debit_card,631.78,Pending
PMT-622EBD7B20,RES-C574583B3E,12/02/2024 00:00,bank_transfer,437.77,PENDING
PMT-668BC402F4,RES-BE91B81A04,07/11/2024 00:00,cash,1121.2,PAID
PMT-0E8232838E,RES-99FA0AD18B,2024-06-07 00:00:00,bank_transfer,1057.18,PENDING
PMT-A56FD0A17E,RES-F8AE3139F2,2024-05-22 00:00:00,cash,1001.78,REFUNDED
PMT-7360A35D6E,RES-F460C02644,2026-01-29 00:00:00,cash,280.08,paid
PMT-187655A013,RES-007FA07896,21/06/2025 00:00,mobile_money,763.71,success
PMT-EBD2E6AC6E,RES-8457B4F4AB,17/03/2026 00:00,credit_card,1640.54,PENDING
PMT-6879CFFB0C,RES-C37A39DF41,2025-07-30 00:00:00,debit_card,1652.47,Refunded
PMT-953E0C6BD6,RES-0EB956C715,03/09/2025 00:00,cash,872.02,success
PMT-044539030F,RES-1B74859ECA,04-29-2024 12:00 AM,paypal,404.41,FAILED
PMT-4992A205BC,RES-147D7AC6C2,16/08/2024 00:00,mobile_money,1296.99,failed
PMT-F2D4D639C7,RES-92685EE63B,,bank_transfer,1215.94,SUCCESS
PMT-117433E31E,RES-74F30CDC99,13/05/2025 00:00,cash,1541.0,PENDING
PMT-416C17961B,RES-A39DB52D45,2025-08-09 00:00:00,cash,1106.68,FAILED
PMT-D2A82F94A6,RES-900B62EE73,03-09-2026 12:00 AM,bank_transfer,1426.66,FAILED
PMT-A19D224FF2,RES-AF6F3C6EE3,06-29-2025 12:00 AM,cash,1672.95,Paid
PMT-822BC8C11C,RES-871A626CEC,2025-01-23 00:00:00,bank_transfer,1711.78,refunded
PMT-FBA198A608,RES-308C30B392,2025-11-04 00:00:00,bank_transfer,498.11,FAILED
PMT-ED91437E11,RES-9614C2D9E5,2024-09-06 00:00:00,debit_card,798.88,refunded
PMT-8B146AEE6D,RES-10B12BE8D3,23/02/2026 00:00,credit_card,1157.3,REFUNDED
PMT-7C35EBC369,RES-AB3070DDF8,2025-11-26 00:00:00,debit_card,424.65,pending
PMT-8198E45F6D,RES-82077CA42D,05-11-2024 12:00 AM,bank_transfer,313.88,declined
PMT-1EDF168F84,RES-9FF0383786,2024-08-05 00:00:00,credit_card,107.21,pending
PMT-AB0F70A1B5,RES-FE5E18A831,2025-11-06 00:00:00,debit_card,972.46,paid
PMT-61040B7139,RES-85B42082A9,12-04-2025 12:00 AM,cash,1526.21,success
PMT-78630E4544,RES-85B42082A9,2026-06-13 00:00:00,mobile_money,297.89,pending
PMT-0129BCF461,RES-A55D25F47E,06/05/2025 00:00,debit_card,1453.0,refunded
PMT-F252FB487B,RES-F8B6C5F55C,03-28-2025 12:00 AM,bank_transfer,876.9,Pending
PMT-B44D9CF001,RES-555E11FA8F,01-07-2025 12:00 AM,debit_card,1638.51,declined
PMT-710D8CFA19,RES-555E11FA8F,06-28-2024 12:00 AM,cash,472.36,success
PMT-39462EB7E5,RES-555E11FA8F,2026-03-07 00:00:00,credit_card,1599.3,PENDING
PMT-272A8BDD16,RES-7E93E8DD13,13/11/2025 00:00,bank_transfer,1354.16,REFUNDED
PMT-7EB4BCA850,RES-1CCF930306,03-27-2025 12:00 AM,bank_transfer,1190.59,PENDING
PMT-10E0509C92,RES-DFBC0B85F7,2024-12-23 00:00:00,bank_transfer,914.93,Pending
PMT-4C56B79FA7,RES-FD068BC679,2025-08-19 00:00:00,credit_card,485.88,Failed
PMT-F3AE7CD268,RES-86CDDBC7B3,02-07-2024 12:00 AM,credit_card,1701.66,Refunded
PMT-F6FCA018BB,RES-695199C37A,13/04/2025 00:00,bank_transfer,1656.63,Pending
PMT-CD96D36DEA,RES-8BE1723F76,28/05/2026 00:00,cash,496.73,failed
PMT-03A91CC94F,RES-1E946A1DAB,27/07/2024 00:00,mobile_money,197.98,Pending
PMT-CD7F0B1A42,RES-058B6A4621,06-05-2025 12:00 AM,paypal,1784.2,Pending
PMT-75830C8665,RES-2CB8A73B6D,2025-10-18 00:00:00,credit_card,1270.49,refunded
PMT-9F1AB575E3,RES-B483754F16,2024-11-10 00:00:00,credit_card,881.84,REFUNDED
PMT-DE4BE6F5FE,RES-2645589EAD,24/05/2024 00:00,cash,356.85,Refunded
PMT-95BB26E9F0,RES-2D1366C37E,2025-12-01 00:00:00,mobile_money,760.47,declined
PMT-5F5562EC41,RES-941DF02538,25/09/2024 00:00,debit_card,1796.69,refunded
PMT-93BE25595F,RES-BAB613D515,2025-09-06 00:00:00,bank_transfer,95.82,failed
PMT-AC8E33A3F5,RES-F8B8805249,05-14-2024 12:00 AM,credit_card,506.64,pending
PMT-A3ADB1E211,RES-F8B8805249,2025-09-14 00:00:00,debit_card,,declined
PMT-CA86E1AE80,RES-0E53E0EDC5,06/09/2024 00:00,mobile_money,465.97,DECLINED
PMT-76A18CEFBC,RES-D7DB31795D,11/08/2025 00:00,bank_transfer,,pending
PMT-DA37028ADC,RES-2399E01CF1,01/07/2025 00:00,credit_card,236.07,Refunded
PMT-35100E4A31,RES-91C33CA836,07-16-2025 12:00 AM,debit_card,1679.11,paid
PMT-AA23D5C9FD,RES-716AD09899,07-08-2025 12:00 AM,credit_card,1774.98,pending
PMT-3801A97A90,RES-716AD09899,2024-01-29 00:00:00,cash,1162.77,success
PMT-6150758E9B,RES-716AD09899,12-12-2024 12:00 AM,cash,315.62,DECLINED
PMT-39DE61E966,RES-66B8DCDFD8,2024-09-29 00:00:00,mobile_money,1141.92,SUCCESS
PMT-1C84AFA523,RES-D0294AFD97,18/11/2024 00:00,bank_transfer,353.62,success
PMT-76726AA587,RES-D6D603C2A7,07-01-2024 12:00 AM,debit_card,951.47,Pending
PMT-92EADA25CB,RES-324FCFBB9B,22/03/2025 00:00,bank_transfer,1632.24,refunded
PMT-3482134F96,RES-500C1036D1,2024-04-15 00:00:00,bank_transfer,544.57,failed
PMT-AF9C30C9A0,RES-3B5E782633,2025-07-15 00:00:00,debit_card,1170.43,REFUNDED
PMT-01E72861C6,RES-C1B588104F,07-16-2024 12:00 AM,bank_transfer,1668.89,REFUNDED
PMT-06127B9ED0,RES-8A95B841F2,16/05/2024 00:00,debit_card,882.45,refunded
PMT-EDC88A0751,RES-281AD3CEA0,22/08/2024 00:00,cash,1743.4,PENDING
PMT-C92F2DB770,RES-281AD3CEA0,2024-02-20 00:00:00,paypal,1245.96,refunded
PMT-14F5DF3599,RES-EF3454FE79,05-26-2024 12:00 AM,cash,1411.78,DECLINED
PMT-D42FE0EACC,RES-D812CA2472,2025-02-01 00:00:00,cash,306.93,Pending
PMT-E2BE63BAD0,RES-098CE7D032,09-08-2025 12:00 AM,credit_card,648.97,REFUNDED
PMT-D2D3FE05BD,RES-D02D549758,06-15-2024 12:00 AM,cash,683.87,Pending
PMT-D9B6445D5C,RES-1BF971E058,2024-11-17 00:00:00,debit_card,992.73,PAID
PMT-4EB1ED5770,RES-B75338B894,10/04/2024 00:00,cash,939.1,paid
PMT-5C8AA88905,RES-BA658E26A8,14/04/2025 00:00,mobile_money,1689.45,pending
PMT-159C787445,RES-48120A7015,13/04/2024 00:00,paypal,397.88,SUCCESS
PMT-7F483147C6,RES-94ED09086C,05/04/2026 00:00,bank_transfer,854.81,pending
PMT-DD50C78EE5,RES-18787A3C40,09-28-2024 12:00 AM,debit_card,862.99,PENDING
PMT-5272751474,RES-4FC778B3C4,08/02/2024 00:00,bank_transfer,592.68,REFUNDED
PMT-9369B34536,RES-E3EB3D821A,12-03-2025 12:00 AM,cash,457.79,REFUNDED
PMT-D360EDF68D,RES-DBE433DD9D,30/07/2025 00:00,debit_card,698.84,Refunded
PMT-1D8B9D8E0C,RES-BC8C520ADE,14/12/2025 00:00,paypal,358.87,DECLINED
PMT-859F0FF9B2,RES-F6B65E1680,17/03/2024 00:00,paypal,1574.64,DECLINED
PMT-50ACE45FA0,RES-A8D04E1CB6,06-09-2024 12:00 AM,debit_card,1552.52,REFUNDED
PMT-A00544B0B5,RES-A8D04E1CB6,13/10/2025 00:00,credit_card,183.6,Refunded
PMT-906C8BA3C9,RES-B6E194EBA0,11/01/2024 00:00,credit_card,1122.0,REFUNDED
PMT-18C9A56F1D,RES-A254B93BEE,09-26-2025 12:00 AM,mobile_money,914.75,Pending
PMT-372DE98D45,RES-5432ACC189,10-25-2025 12:00 AM,bank_transfer,356.97,Failed
PMT-4FF9FD66CB,RES-5432ACC189,15/08/2025 00:00,cash,392.49,Refunded
PMT-48AC49F1C8,RES-FC5D09592D,2026-04-01 00:00:00,paypal,1291.28,success
PMT-CE4F231350,RES-5DEEE79591,25/04/2026 00:00,bank_transfer,1540.88,Refunded
PMT-2270617D7A,RES-5DEEE79591,03-31-2026 12:00 AM,bank_transfer,897.06,failed
PMT-68EF9D899C,RES-5DEEE79591,07-24-2024 12:00 AM,mobile_money,1641.84,Refunded
PMT-208BD69A4A,RES-D4DDE47CC3,2025-07-26 00:00:00,credit_card,1320.76,FAILED
PMT-44F7253DDA,RES-EE008157DF,26/10/2025 00:00,mobile_money,438.47,FAILED
PMT-1A2C2ED90F,RES-23FCC72AB1,2026-04-26 00:00:00,cash,564.06,Pending
PMT-317A41DB70,RES-23FCC72AB1,06-20-2025 12:00 AM,cash,286.06,failed
PMT-8F1744ED3A,RES-23FCC72AB1,01-02-2026 12:00 AM,debit_card,1365.95,REFUNDED
PMT-56DBDA260F,RES-D2B48C75C3,01-11-2026 12:00 AM,cash,244.02,PENDING
PMT-8B90348CDE,RES-F3D443FDFE,2025-07-17 00:00:00,cash,1389.64,pending
PMT-CCE80C076E,RES-F3D443FDFE,29/02/2024 00:00,debit_card,835.29,success
PMT-54211901D1,RES-DEF2A36503,01/04/2025 00:00,debit_card,785.12,PENDING
PMT-4709AE2E15,RES-BE18CD0638,2026-03-01 00:00:00,credit_card,1323.47,Pending
PMT-9D49DAD849,RES-73ED82FE2A,12-04-2024 12:00 AM,mobile_money,1268.6,success
PMT-EE46EC6D80,RES-8EFF37D235,02-20-2026 12:00 AM,mobile_money,1657.21,Refunded
PMT-A03F29E844,RES-258CF0D166,06/12/2025 00:00,debit_card,531.19,failed
PMT-77F8155FA0,RES-2D31E246FA,2024-06-28 00:00:00,mobile_money,540.57,pending
PMT-9B7CA7DD88,RES-70E32E2BA9,2025-02-21 00:00:00,credit_card,1328.81,PENDING
PMT-2921986EFD,RES-105FC5E239,2024-08-10 00:00:00,debit_card,640.55,SUCCESS
PMT-22CD21658F,RES-0AB21744D6,2026-01-10 00:00:00,cash,344.69,refunded
PMT-5F179DCA97,RES-EA556EB83A,12/12/2025 00:00,credit_card,260.45,PAID
PMT-0235094217,RES-199961DA90,11/01/2026 00:00,mobile_money,1755.39,declined
PMT-1A31034331,RES-EC3F94B720,05-08-2025 12:00 AM,mobile_money,79.43,Pending
PMT-6D19CB82D5,RES-38F3E8F670,13/09/2024 00:00,paypal,378.87,pending
PMT-929CD15784,RES-0714BD9521,2025-11-09 00:00:00,cash,1513.2,success
PMT-CBD4EB8D6F,RES-191097FF87,04-19-2025 12:00 AM,mobile_money,1670.47,failed
PMT-738C557735,RES-F5829A2A11,2026-04-19 00:00:00,paypal,1710.01,PENDING
PMT-4305EDC8E8,RES-6AF16B92CA,,mobile_money,265.65,success
PMT-EEE2298582,RES-ED984C4196,19/03/2024 00:00,bank_transfer,657.08,Pending
PMT-3152E30148,RES-B873E55130,30/05/2026 00:00,paypal,479.16,Paid
PMT-207824101E,RES-C1C9B7F974,01/04/2024 00:00,debit_card,138.06,DECLINED
PMT-2F737F80A9,RES-1DD1013ABB,2025-02-15 00:00:00,credit_card,822.0,refunded
PMT-1965362967,RES-2FDD010C94,02-05-2025 12:00 AM,credit_card,1167.93,Paid
